fipsstat,state,year,shalll,violent_arrest_rate,property_arrest_rate,murder_arrest_rate,rape_arrest_rate,assault_arrest_rate,robery_arrest_rate,burglary_arrest_rate,larceny_arrest_rate,autotheft_arrest_rate,violent_crime_rate,property_crime_rate,murder_crime_rate,rape_crime_rate,assault_crime_rate,robbery_crime_rate,burglary_crime_rate,larceny_crime_rate,autotheft_crime_rate,personal_income_rpc,unemployment_insurance_rpc,income_maintenance_rpc,retirement_payments_rpc,state_population,density,ppwm1019,ppbm1019,ppnm1019,ppwf1019,ppbf1019,ppnf1019,ppwm2029,ppbm2029,ppnm2029,ppwf2029,ppbf2029,ppnf2029,ppwm3039,ppbm3039,ppnm3039,ppwf3039,ppbf3039,ppnf3039,ppwm4049,ppbm4049,ppnm4049,ppwf4049,ppbf4049,ppnf4049,ppwm5064,ppbm5064,ppnm5064,ppwf5064,ppbf5064,ppnf5064,ppwm65o,ppbm65o,ppnm65o,ppwf65o,ppbf65o,ppnf65o,violent_crime_rate_log,property_crime_rate_log,murder_crime_rate_log,rape_crime_rate_log,assault_crime_rate_log,robbery_crime_rate_log,burglary_crime_rate_log,larceny_crime_rate_log,autotheft_crime_rate_log
17,Illinois,1981,0,37.56999969482422,19.850000381469727,109.9800033569336,47.70000076293945,33.689998626708984,36.43000030517578,15.029999732971191,23.530000686645508,9.970000267028809,796.3245849609375,5348.83349609375,10.570175170898438,32.596492767333984,378.1403503417969,375.0175476074219,1518.7894287109375,3216.631591796875,613.41229248046875,6917.57080078125,77.7063980102539,96.99120330810547,656.25042724609375,11400000,204.8701629638672,0.07003050297498703,0.015516400337219238,0.0014684000052511692,0.06654030084609985,0.01552559994161129,0.0013419999741017818,0.07624969631433487,0.012695799581706524,0.001651099999435246,0.07444609701633453,0.015169800259172916,0.0018767999717965722,0.05962599813938141,0.008543199859559536,0.0018596999580040574,0.05976010113954544,0.010807700455188751,0.0019966999534517527,0.04185609892010689,0.006162100005894899,0.0010645999573171139,0.04281900078058243,0.007703000213950872,9.874999523162842e-4,0.06220870092511177,0.007430099882185459,7.285000174306333e-4,0.06771860271692276,0.009080099873244762,8.436000207439065e-4,0.03992149978876114,0.004003600217401981,3.4890000824816525e-4,0.06226940080523491,0.005898499861359596,4.628000024240464e-4,6.680006872780199,8.584633778002969,2.358036372204469,3.4842046987609963,5.935265423906361,5.926972818495416,7.325668868043023,8.076090001500873,6.4190372913888245
17,Illinois,1982,0,36.27000045776367,20.40999984741211,124.1500015258789,47.66999816894531,34.20000076293945,33.439998626708984,14.65999984741211,24.540000915527344,9.539999961853027,777.57891845703125,5087.31591796875,8.815789222717285,30.03508758544922,390.4824523925781,348.24560546875,1379.5877685546875,3106.19287109375,601.53509521484375,7734.251953125,105.94869995117187,106.54720306396484,751.8165283203125,11400000,204.8701629638672,0.06780199706554413,0.015280400402843952,0.0016008999664336443,0.0643296018242836,0.015223699621856213,0.0014604999450966716,0.0760968029499054,0.012816499918699265,0.0017677999567240477,0.07427079975605011,0.015197199769318104,0.0019632000476121902,0.06087090075016022,0.00875409971922636,0.0019371999660506845,0.06090009957551956,0.011063899844884872,0.002082600025460124,0.0421748012304306,0.006217500194907188,0.0011576999677345157,0.043108001351356506,0.007777099963277578,0.0010834999848157167,0.06105310097336769,0.007414999883621931,7.903000223450363e-4,0.06638669967651367,0.009104800410568714,9.128000237978995e-4,0.04040570184588432,0.004083800129592419,3.7540000630542636e-4,0.06320430338382721,0.006081900093704462,5.054000066593289e-4,6.65618514174095,8.534505645895978,2.1765443436307903,3.402366284410715,5.9673830320154755,5.852907993682234,7.2295400150873785,8.041153098076213,6.399484879872004
17,Illinois,1983,0,26.459999084472656,19.1200008392334,103.87999725341797,30.350000381469727,26.15999984741211,23.420000076293945,13.300000190734863,23.540000915527344,8.460000038146973,733.58770751953125,4849.623046875,9.754385948181152,31.74561309814453,370.8157958984375,321.2719421386719,1302.149169921875,2974.21923828125,573.25439453125,8403.26171875,122.37460327148437,119.25279998779297,836.64239501953125,11400000,204.8701629638672,0.06543949991464615,0.014951500110328197,0.0016886000521481037,0.06199159845709801,0.014841199852526188,0.0015471000224351883,0.07582910358905792,0.012885600328445435,0.0018575000576674938,0.07394710183143616,0.015164299868047237,0.002013999968767166,0.0616053007543087,0.008964099921286106,0.002005999907851219,0.06156430020928383,0.011301199905574322,0.0021571998950093985,0.04334690049290657,0.006286600138992071,0.001247099949978292,0.04427900165319443,0.007872800342738628,0.0011817000340670347,0.059830401092767715,0.00738559989258647,8.46999988425523e-4,0.06499619781970978,0.009101999923586845,9.757999796420336e-4,0.04096909984946251,0.004151499830186367,3.9629999082535505e-4,0.0641482025384903,0.006244900170713663,5.384000251069665e-4,6.597947164421728,8.486656258617181,2.2777170247007907,3.4577545456551477,5.915705432294716,5.772287936254117,7.171771386038362,7.9977368426222215,6.351329587702961
17,Illinois,1984,0,35.58000183105469,15.90999984741211,76.37000274658203,34.040000915527344,39.7599983215332,23.25,10.479999542236328,19.040000915527344,6.769999980926514,731.9385986328125,4623.89453125,9.061403274536133,31.526315689086914,384.6403503417969,306.7105407714844,1184.8070068359375,2847.79833984375,591.28948974609375,9637.109375,60.26028060913086,129.5919952392578,949.909423828125,11400000,204.8701629638672,0.0633419007062912,0.014661899767816067,0.0017933000344783068,0.05988889932632446,0.01448890008032322,0.0016530000139027834,0.07552369683980942,0.012965800240635872,0.0019565001130104065,0.07334280014038086,0.0150755001232028,0.0020683000329881907,0.06308209896087646,0.00928799994289875,0.0020957000087946653,0.06283579766750336,0.011656899936497211,0.002252599922940135,0.04408159852027893,0.006346799898892641,0.0013414999702945352,0.04500409960746765,0.007962199859321117,0.0012857000110670924,0.05873680114746094,0.00737430015578866,9.120000177063048e-4,0.06370820105075836,0.009115800261497498,0.0010432000271975994,0.04136110097169876,0.004210399929434061,4.197999951429665e-4,0.06485459953546524,0.006398799829185009,5.738000036217272e-4,6.595696628793886,8.438992601106358,2.2040239948753064,3.4508226157647877,5.952308742736752,5.725904438874865,7.0773351768759545,7.954301462385755,6.382305727844007
17,Illinois,1985,0,18.850000381469727,23,107.98999786376953,45.29999923706055,16.100000381469727,16.959999084472656,11.619999885559082,34.060001373291016,7.550000190734863,723.22808837890625,4650.9208984375,8.131579399108887,39.72806930541992,384.84210205078125,290.52630615234375,1149.25439453125,2903.77197265625,597.89471435546875,10482.849609375,59.57304000854492,141.23500061035156,1030.14501953125,11400000,204.8701629638672,0.061581701040267944,0.014346799813210964,0.0018901999574154615,0.058101799339056015,0.014111899770796299,0.0017462000250816345,0.07457830011844635,0.012928600423038006,0.0020594000816345215,0.07228080183267593,0.01486239954829216,0.002124299993738532,0.0648161992430687,0.009625899605453014,0.0021818000823259354,0.06438139826059341,0.01201079972088337,0.002345999935641885,0.04455539956688881,0.0063899001106619835,0.0014370999997481704,0.045442499220371246,0.008027399890124798,0.001396500039845705,0.057779498398303986,0.007341600023210049,9.78600000962615e-4,0.06258419901132584,0.00912730023264885,0.0011068000458180904,0.041771698743104935,0.004254399798810482,4.427999956533313e-4,0.0654992014169693,0.00651790015399456,6.096999859437346e-4,6.5837246473432565,8.444820521648271,2.0957551727252017,3.682057973262374,5.952833125620287,5.67169412693342,7.046868658504348,7.973765851049102,6.3934146754990095
17,Illinois,1986,0,NA,18.1299991607666,98.720001220703125,NA,15.550000190734863,14.869999885559082,11.119999885559082,23.079999923706055,8.130000114440918,819.77191162109375,4809.74560546875,8.973684310913086,41.79824447631836,439.3245544433594,329.6754455566406,1195.6666259765625,2977.350830078125,636.72808837890625,11261.76953125,56.912269592285156,149.4803924560547,1100.531982421875,11400000,204.8701629638672,0.06022460013628006,0.014099800027906895,0.00199109991081059,0.05674869939684868,0.013830199837684631,0.0018501000013202429,0.07303909957408905,0.012788999825716019,0.0021585000213235617,0.07066389918327332,0.014557399787008762,0.0021826999727636576,0.0666951984167099,0.010017500258982182,0.002266800031065941,0.06611110270023346,0.01242700032889843,0.0024383000563830137,0.04490460082888603,0.006395299918949604,0.0015202000504359603,0.045769501477479935,0.008043499663472176,0.0015076999552547932,0.056606799364089966,0.007316200062632561,0.0010519999777898192,0.061248600482940674,0.009146199561655521,0.0011770999990403652,0.042271099984645844,0.004308899864554405,4.7110000741668046e-4,0.06615140289068222,0.006647100206464529,6.498000002466142e-4,6.709026145005946,8.478399473025217,2.1942963287439263,3.7328543404745607,6.085238443895816,5.7981086721955135,7.086459154832862,7.998789200924288,6.456342701612829
17,Illinois,1987,0,NA,25.850000381469727,112.8499984741211,NA,13.260000228881836,15.960000038146973,10.859999656677246,32.040000915527344,98.79000091552734,808.91229248046875,4694.087890625,8.48245620727539,38.97368240356445,442.1052551269531,319.35089111328125,1141.640380859375,3004.315673828125,548.131591796875,12307.1796875,53.21025085449219,153.9550018310547,1173.4630126953125,11400000,204.8701629638672,0.05916709825396538,0.013998400419950485,0.0020791999995708466,0.05564019829034805,0.013680900447070599,0.00194240000564605,0.07129859924316406,0.012577599845826626,0.002252700040116906,0.06900860369205475,0.01423409953713417,0.002241400070488453,0.06704539805650711,0.010310499928891659,0.002343100029975176,0.06630159914493561,0.012736099772155285,0.0025110999122262,0.04728420078754425,0.006593899801373482,0.001631599967367947,0.048150599002838135,0.008294099941849709,0.0016531000146642327,0.05564820021390915,0.007318700198084116,0.0011309999972581863,0.06006539985537529,0.009204000234603882,0.001246499945409596,0.04289659857749939,0.004377299919724464,5.021999822929502e-4,0.06689109653234482,0.006783599965274334,6.929999799467623e-4,6.695690496447529,8.45405910027168,2.1380000549485554,3.662886608177772,6.091547987499739,5.766290470400703,7.040221437698377,8.00780509185975,6.306515389137373
17,Illinois,1988,0,NA,13.010000228881836,99.589996337890625,NA,23.700000762939453,10.449999809265137,6.510000228881836,16.360000610351562,8.09000015258789,820.6754150390625,4871.19287109375,8.69298267364502,39.02631759643555,456.3157958984375,316.6403503417969,1142.9122314453125,3115.333251953125,612.9473876953125,13728.2001953125,47.94139862060547,163.73829650878906,1273.029052734375,11400000,204.8701629638672,0.05821099877357483,0.013874700292944908,0.0021687999833375216,0.05463369935750961,0.013506400398910046,0.0020300999749451876,0.06961309909820557,0.012375099584460258,0.0023580000270158052,0.06727319955825806,0.0139141995459795,0.0023042999673634768,0.06797180324792862,0.010568199679255486,0.0024160000029951334,0.06711679697036743,0.013001400046050549,0.002583499997854233,0.048915401101112366,0.006785199977457523,0.0017511999467387795,0.04976220056414604,0.008528199978172779,0.001810200046747923,0.05507500097155571,0.0073425001464784145,0.0012150000547990203,0.0592803992331028,0.009290999732911587,0.00132020004093647,0.043244000524282455,0.0044316998682916164,5.359000060707331e-4,0.06732019782066345,0.006908200215548277,7.375000277534127e-4,6.710127678099563,8.491094128812785,2.162516110956211,3.6642362287126584,6.123185104687768,5.757766588289334,7.041334872959604,8.04409140846979,6.418279104675836
17,Illinois,1989,0,NA,14.539999961853027,95.05000305175781,NA,26.18000030517578,11.130000114440918,8.079999923706055,17.729999542236328,9.720000267028809,865.0087890625,4901.78076171875,9.219298362731934,36.5,475.97369384765625,343.3157958984375,1100.359619140625,3180.315673828125,621.10528564453125,15217.5595703125,52.34164047241211,179.34710693359375,1412.4549560546875,11400000,204.8701629638672,0.05736460164189339,0.013838100247085094,0.002271600067615509,0.053738098591566086,0.013430199585855007,0.002131100045517087,0.06810230016708374,0.01218430045992136,0.0024834999348968267,0.06574039906263351,0.013598700053989887,0.0023918000515550375,0.06882750242948532,0.010787700302898884,0.0024892999790608883,0.06785819679498672,0.013225499540567398,0.002655700081959367,0.050512101501226425,0.007025999948382378,0.0018843000289052725,0.05130799859762192,0.008828699588775635,0.0019797999411821365,0.05451029911637306,0.007370799779891968,0.0013011000119149685,0.058479901403188705,0.00938310008496046,0.0013940000208094716,0.04370860010385513,0.004495800007134676,5.716999876312912e-4,0.0678957998752594,0.007038400042802095,7.845999789424241e-4,6.762739667646155,8.497353838836318,2.2212989351860144,3.597312260588446,6.16536258767832,5.838650711343485,7.003392331849119,8.064735739346842,6.431500609663535
17,Illinois,1990,0,NA,20.329999923706055,103.80999755859375,NA,26.8700008392334,15.829999923706055,12.869999885559082,23.649999618530273,15.789999961853027,969.95611572265625,4981.0615234375,10.368420600891113,39.51754379272461,525,395.0701904296875,1065.8421630859375,3270.71923828125,644.5,16762.69921875,67.61747741699219,209.29220581054687,1591.426025390625,11400000,205.06178283691406,0.05675109848380089,0.013869499787688255,0.002353199990466237,0.053118299692869186,0.013439100235700607,0.0022191000171005726,0.06714680045843124,0.012040399946272373,0.00258120009675622,0.06476669758558273,0.01335929986089468,0.0024532999377697706,0.06943570077419281,0.01092739962041378,0.002540400018915534,0.06845580041408539,0.013372800312936306,0.0027077998965978622,0.05181049928069115,0.007240999955683947,0.0020004999823868275,0.05258110165596008,0.009099899791181087,0.0021263998933136463,0.05409169942140579,0.007388100028038025,0.0013775000115856528,0.057904601097106934,0.009457100182771683,0.001462399959564209,0.04400449991226196,0.004526000004261732,5.998000269755721e-4,0.06830620020627975,0.007126099895685911,8.25099996291101e-4,6.877250828950965,8.513398304620672,2.3387647060026695,3.6767447199544034,6.263398262591624,5.979063446405177,6.9715205291158,8.092765190250448,6.468474822379242
